Escalar,CC,S,RD,Co,Cl,V,LN,M,C,BS,CF,A,I,Ar,Ad,-
1,,,2,0,,,,,,,,,,,,1
2,,,3,1,2,,,,,,,,,,,2
3,,,4,2,6,,,,,,,,,,,3
4,1,0,5,3,9,,,,,,,,,,,4
5,4,1,6,4,13,,,,,,,,,,,5
6,6,3,,5,16,,,,,,,,,,,6
7,8,4,7,6,21,,,,,,,,,,,7
8,11,5,8,7,25,,,,,,,,,,,8
9,13,6,9,9,29,,,,,,,,,,,9
10,15,8,10,10,33,,,,,,,,,,,10
11,18,9,,11,37,,,,,,,,,,,11
12,20,11,11,12,41,,,,,,,,,,,12
13,22,12,12,13,44,,,,,,,,,,,13
14,25,13,13,14,48,,,,,,,,,,,14
15,27,15,14,16,52,,,,,,,,,,,15
16,29,16,,17,56,,,,,,,,,,,16
17,31,18,15,18,60,,,,,,,,,,,17
18,34,19,16,19,64,,,,,,,,,,,18
19,68,44,32,28,65,,,,,,,,,,,19
